area_id,facility_id,area_name,type_id,square,sports
1000003,104341,универсальная спортивная площадка,12,1042.0,"[0, 1, 2, 7]"
1000006,102975,универсальная спортивная площадка,12,800.0,"[65, 21]"
1000011,102779,универсальная спортивная площадка,12,600.0,"[0, 1, 2, 3, 21]"
1000014,105224,площадка для игры в футбол,24,800.0,"[1, 3]"
1000017,104338,площадка для игры в баскетбол,28,955.0,"[1, 2]"
1000018,104499,площадка для игры в футбол,24,1141.0,[3]
1000023,104335,универсальная спортивная площадка,12,285.0,"[0, 1, 2, 3]"
1000025,104346,универсальная спортивная площадка,12,612.0,"[0, 1, 2, 3]"
1000029,104583,площадка для игры в футбол,24,545.3,[3]
1000033,104589,универсальная спортивная площадка,12,544.0,[3]
1000042,104254,универсальная спортивная площадка №1,12,692.0,"[1, 2, 3]"
1000043,104344,универсальная спортивная площадка,12,507.6,"[2, 3]"
1000044,104552,универсальная спортивная площадка,12,1404.0,"[0, 1, 2, 3]"
1000045,104420,площадка для игры в футбол,24,882.0,[3]
1000048,104244,спортивная площадка для игры в футбол,24,653.5,[3]
1000052,104267,площадка для игры в баскетбол,28,450.0,"[1, 2, 21]"
1000054,104453,универсальная спортивная площадка,12,276.0,"[2, 3]"
1000055,103974,городок тренажерный (воркаут) старого типа,27,186.5,"[21, 39]"
1000058,104464,площадка для игры в футбол,24,760.0,[3]
1000060,104475,универсальная спортивная площадка,12,1248.0,"[2, 3]"
1000061,104472,универсальная спортивная площадка,12,864.0,"[0, 1, 2, 3]"
1000062,104512,универсальная спортивная площадка,12,736.0,"[2, 3]"
1000067,103799,универсальная спортивная площадка,12,789.8,"[2, 3]"
1000075,102241,универсальная спортивная площадка,12,520.0,"[0, 1, 2, 3]"
1000076,103894,площадка для игры в футбол,24,688.0,"[0, 1, 3, 21]"
1000077,103893,универсальная спортивная площадка №1,12,800.0,"[0, 1, 21]"
1000079,104351,универсальная спортивная площадка,12,507.6,"[1, 2, 3]"
1000080,101738,универсальная спортивная площадка,12,600.0,"[3, 21]"
1000088,104518,универсальная спортивная площадка,12,576.0,"[0, 1, 2]"
1000089,104424,универсальная спортивная площадка,12,432.0,"[2, 7]"
1000090,104550,универсальная спортивная площадка,12,640.0,[2]
1000091,104513,площадка для игры в футбол,24,704.0,[3]
1000095,103720,универсальная спортивная площадка,12,470.0,"[0, 1, 2, 3, 21]"
1000096,103951,универсальная спортивная площадка,12,559.4,"[0, 2, 3]"
1000097,103478,универсальная спортивная площадка,12,1248.0,"[0, 1, 2, 3, 21]"
1000098,105032,универсальная спортивная площадка,12,1800.0,"[0, 1, 2, 3]"
1000101,104170,универсальная спортивная площадка,12,842.0,"[0, 1, 2, 3, 21]"
1000103,102332,универсальная спортивная площадка,12,400.0,"[0, 1, 2, 3]"
1000104,103817,универсальная спортивная площадка,12,1800.0,"[2, 7]"
