,geometry,id,population
0,"POLYGON ((55.5309535150032 37.21086522950205, 55.52704180974094 37.21527619065238, 55.52752504862472 37.22310998777193, 55.53192031775635 37.2265343208034, 55.53583247484854 37.22212348616071, 55.5353489109491 37.21428819178738, 55.5309535150032 37.21086522950205))",[],0.0
1,"POLYGON ((55.77228509447966 37.74666941346617, 55.77274308149912 37.754590957201, 55.77713380523249 37.75810786271289, 55.78106667936641 37.75370184952541, 55.78060837565011 37.74577877213125, 55.77621751452624 37.74226324178428, 55.77228509447966 37.74666941346617))","[100256, 101560, 101996, 102001, 103548, 103556, 103596, 103626, 106332, 108449, 108789, 109355, 109363, 110012, 121173, 121460, 122752]",0.0
2,"POLYGON ((55.28518162648017 37.16150412958448, 55.28566048033976 37.16928822427771, 55.29005531714887 37.17268541534111, 55.29397142540823 37.16829715590357, 55.29349224531942 37.16051158317575, 55.28909728323047 37.15711574810781, 55.28518162648017 37.16150412958448))",[],0.0
3,"POLYGON ((55.42351327793014 37.09773677508725, 55.4240004708876 37.10554187836001, 55.42839644607634 37.10894180768404, 55.43230535271418 37.10453526751245, 55.43181783284587 37.09672867855174, 55.42742173328077 37.09333011563952, 55.42351327793014 37.09773677508725))",[],0.0
4,"POLYGON ((55.51666395473413 37.31910595433457, 55.51274617865358 37.32350916243497, 55.51322227326071 37.33134863831761, 55.51761646737884 37.33478640589177, 55.52153469573402 37.33038333032424, 55.52105827766652 37.32254235445723, 55.51666395473413 37.31910595433457))",[],0.0
5,"POLYGON ((55.86170816602239 37.62929451099481, 55.86217628266556 37.63722430227906, 55.8665684387861 37.64073291417827, 55.87049261371315 37.63631035111111, 55.87002417880192 37.62837902353578, 55.86563188726147 37.62487179551921, 55.86170816602239 37.62929451099481))","[100993, 104174, 104179, 104349, 105733, 108163, 108164, 108178, 108231, 108446, 108773, 109346, 110032, 113998, 116208, 116242, 116357, 116550, 117581, 119851, 122302, 122323, 124105]",15378.939127876542
6,"POLYGON ((55.55732563770245 37.23141540684026, 55.56172093174474 37.23484333250231, 55.56563267989374 37.23042979464858, 55.56514868209219 37.22258820378101, 55.56075326101143 37.21916165066352, 55.55684196474057 37.22357531567695, 55.55732563770245 37.23141540684026))",[],0.0
7,"POLYGON ((55.45473611716478 37.19629017932863, 55.45082302749073 37.20069386145767, 55.45130474301492 37.20851211662382, 55.45569987354988 37.21192818071274, 55.45961341496008 37.20752462380547, 55.45913137406909 37.19970487739715, 55.45473611716478 37.19629017932863))",[121908],0.0
8,"POLYGON ((55.70614507069391 37.76169113232393, 55.71053555130396 37.76520332010433, 55.71447071597212 37.76080484187025, 55.71401494592443 37.75289401726569, 55.70962432796144 37.74938320004813, 55.70568961736967 37.75378183667275, 55.70614507069391 37.76169113232393))","[100458, 100482, 100685, 100686, 105611, 106372, 106394, 106538, 108247, 108259, 108541, 109440, 109899, 109913, 116171, 116406, 116479, 118580, 119098, 119581, 119582, 119583, 119584, 119585, 120231, 121816, 121868, 122305, 123052, 123096, 123098, 123110, 123111, 123112, 123138, 123813]",33373.86035413788
9,"POLYGON ((55.39964210528487 37.39174890905197, 55.40403531368515 37.39518540467965, 55.40795989722633 37.3907978570582, 55.40749081986299 37.38297367841212, 55.4030974817707 37.37953854144889, 55.399173350704 37.38392622427584, 55.39964210528487 37.39174890905197))",[124573],0.0
10,"POLYGON ((55.72096888443622 37.72827293310058, 55.72142640859619 37.73618321219194, 55.72581719470045 37.73969324623535, 55.72975059358765 37.73529162921768, 55.72929275235341 37.72737982091308, 55.72490182933574 37.7238711590388, 55.72096888443622 37.72827293310058))","[100482, 104504, 105786, 106205, 106394, 106404, 106474, 108247, 109899, 109913, 116479, 119735, 121816, 122305]",3611.483818418613
11,"POLYGON ((55.56077956862734 37.49586412293993, 55.56124650518797 37.50372600174773, 55.56563918349472 37.50719105866255, 55.56956505743077 37.5027928701421, 55.56909780003398 37.49492948189615, 55.56470498956699 37.49146579180368, 55.56077956862734 37.49586412293993))","[109692, 123077]",0.0
12,"POLYGON ((55.62009793914418 37.43768639295912, 55.62449145327385 37.44114745283137, 55.62841220446628 37.43673914904852, 55.62793898873986 37.42886964593433, 55.62354534354937 37.42540995825559, 55.61962504511627 37.4298184013025, 55.62009793914418 37.43768639295912))","[108110, 112270, 117643]",0.0
13,"POLYGON ((55.74716678952905 37.46290248954431, 55.74764165783684 37.47079741995231, 55.75203521546716 37.47427369909751, 55.75595403681541 37.46985366806226, 55.75547884754338 37.46195721566138, 55.75108515791727 37.45848231648578, 55.74716678952905 37.46290248954431))","[100140, 100448, 104636, 105079, 105089, 108049, 108060, 108077, 108097, 108144, 121608, 122344, 122797, 124245]",0.0
14,"POLYGON ((55.4053736689818 36.94281923720271, 55.40487706336366 36.93503034637671, 55.4004796241318 36.93165579055212, 55.39657891176902 36.9360687573479, 55.39707518809564 36.94385617008303, 55.40147250604615 36.94723209392626, 55.4053736689818 36.94281923720271))",[],0.0
15,"POLYGON ((55.24123190352974 37.12758786201544, 55.23731647301236 37.13197287713075, 55.2377956164102 37.13974573871409, 55.24219051703504 37.14313505861281, 55.2461063989206 37.13875016361279, 55.24562692878309 37.13097582841201, 55.24123190352974 37.12758786201544))",[],0.0
16,"POLYGON ((55.5968826512521 37.26229657591407, 55.59639963091372 37.25444657452091, 55.5920044055857 37.25101311771555, 55.58809232827563 37.25542828817917, 55.58857502429743 37.26327678648378, 55.59297012191578 37.26671161722051, 55.5968826512521 37.26229657591407))",[121442],0.0
17,"POLYGON ((55.37550053789516 36.86811587162907, 55.37600031035015 36.87589400042446, 55.38039813652029 36.87925904729939, 55.38429631022588 36.87484459753663, 55.38379620746743 36.86706499454623, 55.37939826133733 36.86370131569959, 55.37550053789516 36.86811587162907))",[],0.0
18,"POLYGON ((55.55246108830526 37.49679839545568, 55.55638679412175 37.49240100301722, 55.55591930858977 37.48454091851723, 55.55152643828533 37.4810797347691, 55.54760118541747 37.48547726914313, 55.54806834993514 37.49333584552426, 55.55246108830526 37.49679839545568))","[109692, 110045, 122745, 122755]",0.0
19,"POLYGON ((55.63387789756992 37.38857591039655, 55.62995981795173 37.39298759763742, 55.63043532278768 37.40085471592308, 55.6348292294329 37.40431165770948, 55.63874776166587 37.39990010770675, 55.63827193460891 37.3920314784847, 55.63387789756992 37.38857591039655))","[100564, 105522, 108110, 124570, 124812]",0.0
20,"POLYGON ((55.22664969010441 37.02761541046996, 55.22713490620631 37.03537817248562, 55.23153069302609 37.03875260829249, 55.23544138642541 37.0343629272843, 55.23495584205798 37.02659869602886, 55.23055993258695 37.02322561520702, 55.22664969010441 37.02761541046996))",[],0.0
21,"POLYGON ((55.30941894957527 37.28419460504195, 55.30549719547 37.28857787923548, 55.30596886417252 37.29637560983378, 55.31036261129515 37.29979154992274, 55.3142848174484 37.29540840498959, 55.31381282440121 37.28760919051786, 55.30941894957527 37.28419460504195))",[],0.0
22,"POLYGON ((55.8015117295708 37.3930582405965, 55.79759823242704 37.39748766261272, 55.79807875574093 37.40538722227107, 55.80247309799885 37.4088588831635, 55.80638704786551 37.40442959976635, 55.80590620272126 37.39652851666045, 55.8015117295708 37.3930582405965))","[105315, 107157, 107158, 108060, 108260, 108262, 108263, 108482, 109345, 109492, 109826, 116471, 116472, 117004, 119448, 119449, 119450, 119451, 119452, 121260, 122835, 123176, 123482]",37717.46202944235
23,"POLYGON ((55.89214422989073 37.5780294627921, 55.89261649877451 37.58596119398271, 55.89700925196043 37.5894654361294, 55.90092987082869 37.58503656016781, 55.90045728297578 37.57710329218556, 55.89606439525354 37.57360043715696, 55.89214422989073 37.5780294627921))","[100322, 100532, 101049, 103766, 103784, 103814, 103902, 103905, 103912, 103914, 104232, 104279, 104319, 104324, 108217, 108523, 108558, 108727, 108731, 109601, 109835, 116550, 117304, 119207, 119765, 120268, 120269, 120270, 120271, 120272, 120273, 120274, 120275, 121469, 121782, 121807, 122806, 123250, 124226, 124229, 124419]",31382.85691407027
24,"POLYGON ((55.72376132960737 37.6324921895016, 55.7276892113477 37.62808447099976, 55.72722475440009 37.62018126521894, 55.72283273441727 37.6166873035157, 55.7189053062493 37.62109517290079, 55.71936944452139 37.62899685330423, 55.72376132960737 37.6324921895016))","[101699, 102223, 102363, 102718, 103170, 105802, 105924, 105943, 106138, 106375, 107621, 108261, 108431, 110051, 112220, 116591, 116612, 116617, 118038, 119847, 119853, 119863, 119865, 119868, 119872, 119874, 121283, 121872, 123194, 123801, 123809, 123810, 124572]",6758.697776373028
25,"POLYGON ((55.49954536286243 37.52248993495935, 55.50393765343024 37.52595236278248, 55.50786625460016 37.52156181599083, 55.50740211213001 37.51370869792798, 55.50300968919442 37.51024763244135, 55.49908154106711 37.5146383224869, 55.49954536286243 37.52248993495935))","[122745, 124630, 124632]",0.0
26,"POLYGON ((55.36244252119918 37.39993226953194, 55.36290912048387 37.40774927299368, 55.36730203732596 37.41118488448605, 55.37122848482433 37.4068021367926, 55.37076156292579 37.39898364155023, 55.36636851617246 37.39554938597308, 55.36244252119918 37.39993226953194))",[124573],0.0
27,"POLYGON ((55.47892671927902 36.85105225543825, 55.47842212437735 36.84325672161929, 55.4740235887478 36.83988856291977, 55.47012976770161 36.84431456306595, 55.47063403212368 36.85210861677909, 55.47503244804092 36.85547815026482, 55.47892671927902 36.85105225543825))",[],0.0
28,"POLYGON ((55.42839644607634 37.10894180768404, 55.42888310450772 37.11674870308981, 55.43327899628656 37.12015054456469, 55.43718835426155 37.11574412432625, 55.43670136909037 37.10793574249065, 55.43230535271418 37.10453526751245, 55.42839644607634 37.10894180768404))",[],0.0
29,"POLYGON ((55.22612316999258 37.08635574833923, 55.22660476059637 37.09412298078447, 55.23100002239185 37.09750526367045, 55.23491381736476 37.09311896056798, 55.23443189934229 37.08535025687847, 55.23003651379566 37.08196932772189, 55.22612316999258 37.08635574833923))",[],0.0
30,"POLYGON ((55.87469144709834 37.49620145124314, 55.87860785736041 37.49176949152315, 55.87813016372408 37.48384773313702, 55.87373638025294 37.48035946654296, 55.8698204231106 37.48479157039839, 55.87029779634963 37.49271179691158, 55.87469144709834 37.49620145124314))","[100205, 100461, 100530, 103331, 103473, 103698, 106707, 107165, 107192, 107202, 107204, 109425, 109817, 109891, 109992, 110094, 117257, 117258, 117259, 117260, 117262, 117264, 117266, 120582, 120583, 121315, 121761, 124605, 124911]",27503.525099230006
31,"POLYGON ((55.36440337356721 37.08919505054522, 55.36049337424204 37.09359525559097, 55.36097881170835 37.10138818791915, 55.36537457555178 37.10478239604927, 55.3692850261227 37.10038230968582, 55.36879926157431 37.0925878963219, 55.36440337356721 37.08919505054522))",[],0.0
32,"POLYGON ((55.56403818446868 37.55091182252968, 55.56010964396277 37.55530661898382, 55.56057286908101 37.56317293540443, 55.56496495463423 37.56664596661009, 55.56889394837224 37.56225131614312, 55.56843040329533 37.55438348828791, 55.56403818446868 37.55091182252968))","[107492, 107774, 107865, 108176, 108211, 108227, 109691, 109692, 116196, 116240, 117767, 122593, 122639, 122742]",35.71306618955365
33,"POLYGON ((55.79951747255394 37.4290901237449, 55.80391158363695 37.43256512604783, 55.80782672946508 37.42813707345282, 55.80734731135978 37.42023387836906, 55.80295306893446 37.41676026046024, 55.79903837592672 37.42118845304361, 55.79951747255394 37.4290901237449))","[100203, 105315, 108060, 108262, 108263, 108441, 108481, 108482, 108718, 109345, 109826, 120373, 121260, 121311, 123482, 123627, 124958]",8008.655093007406
