,geometry,peoples
0,"POLYGON ((36.79633728923959 55.44611419625247, 36.80076275715708 55.44222188682592, 36.80854812808397 55.44272792879796, 36.81190950747304 55.44712661131766, 36.80748414229663 55.45101937072905, 36.79969729480378 55.45051299760528, 36.79633728923959 55.44611419625247))",0.0
1,"POLYGON ((36.80748414229663 55.45101937072905, 36.81190950747304 55.44712661131766, 36.81969667894411 55.44763212694567, 36.82305996236402 55.45203073293824, 36.81863470057665 55.45592394238671, 36.81084605179392 55.4554180957749, 36.80748414229663 55.45101937072905))",0.0
2,"POLYGON ((36.81297254662936 55.43883488093137, 36.82075824134313 55.43934006557633, 36.82412099408248 55.44373862904032, 36.81969667894411 55.44763212694567, 36.81190950747304 55.44712661131766, 36.80854812808397 55.44272792879796, 36.81297254662936 55.43883488093137))",0.0
3,"POLYGON ((36.81403516950682 55.43054290496103, 36.82181938801731 55.43104775862367, 36.8251816102315 55.43544627938693, 36.82075824134313 55.43934006557633, 36.81297254662936 55.43883488093137, 36.80961169719346 55.43443624110994, 36.81403516950682 55.43054290496103))",0.0
4,"POLYGON ((36.81438262254331 55.48908873797021, 36.81881167492175 55.48519668407705, 36.82660656267617 55.48570299618574, 36.82997387814501 55.49010169297522, 36.82554492973323 55.49399419695133, 36.81774856169892 55.49348755402436, 36.81438262254331 55.48908873797021))",0.0
5,"POLYGON ((36.81774856169892 55.49348755402436, 36.82554492973323 55.49399419695133, 36.82891277739042 55.49839293523913, 36.82448288031298 55.50228514989318, 36.81668503144242 55.50177817614733, 36.81331856067266 55.49737931859698, 36.81774856169892 55.49348755402436))",0.0
6,"POLYGON ((36.81863470057665 55.45592394238671, 36.82199851483256 55.46032259073576, 36.81757230599693 55.46421551155452, 36.80978217934786 55.4637093339582, 36.80641973958726 55.45931056655824, 36.81084605179392 55.4554180957749, 36.81863470057665 55.45592394238671))",0.0
7,"POLYGON ((36.81863470057665 55.45592394238671, 36.82305996236402 55.45203073293824, 36.83084893455625 55.45253572178017, 36.83421412283209 55.45693425085565, 36.82978896508234 55.46082791039338, 36.82199851483256 55.46032259073576, 36.81863470057665 55.45592394238671))",0.0
8,"POLYGON ((36.82093665124436 55.46861420208796, 36.82872858010681 55.46911985256195, 36.83209483166718 55.47351846583867, 36.82766777938602 55.47741154794101, 36.81987437135547 55.47690556664998, 36.81650949496096 55.47250683410425, 36.82093665124436 55.46861420208796))",0.0
9,"POLYGON ((36.82181938801731 55.43104775862367, 36.82624181105447 55.42715368432316, 36.83402635240176 55.42765768072223, 36.83738994691961 55.43205608220481, 36.83296762797281 55.43595060659958, 36.8251816102315 55.43544627938693, 36.82181938801731 55.43104775862367))",0.0
10,"POLYGON ((36.82342041417107 55.51057585466653, 36.81562108390758 55.51006855010125, 36.81225408136784 55.50566965122673, 36.81668503144242 55.50177817614733, 36.82448288031298 55.50228514989318, 36.82785126031472 55.5066839295072, 36.82342041417107 55.51057585466653))",0.0
11,"POLYGON ((36.82412099408248 55.44373862904032, 36.83190848877199 55.44424328706724, 36.83527314563938 55.44864177378393, 36.83084893455625 55.45253572178017, 36.82305996236402 55.45203073293824, 36.81969667894411 55.44763212694567, 36.82412099408248 55.44373862904032))",0.0
12,"POLYGON ((36.82660656267617 55.48570299618574, 36.81881167492175 55.48519668407705, 36.81544626722454 55.48079790969108, 36.81987437135547 55.47690556664998, 36.82766777938602 55.47741154794101, 36.83103456282261 55.48181020306014, 36.82660656267617 55.48570299618574))",0.0
13,"POLYGON ((36.82730159679456 55.41886084419401, 36.83508466230171 55.41936450978026, 36.83844772587834 55.42376286838751, 36.83402635240176 55.42765768072223, 36.82624181105447 55.42715368432316, 36.8228801192101 55.42275520643275, 36.82730159679456 55.41886084419401))",0.0
