,0
0,ледовое поле крытое стандартное
1,каток с натуральным льдом
2,поле для стрельбы из лука и арбалета
3,поле футбольное
4,дорожка легкоатлетическая
5,зал спортивный
6,стрелковый тир крытый
7,зал тренажерный
8,лодочная станция
9,площадка для пляжных видов спорта открытая
10,место для летнего купания
11,пешеходная зона
12,универсальная спортивная площадка
13,трасса лыжная
14,снежная горка
15,поле регбийное
16,автодром спортивный открытый
17,зал бильярдный
18,городок тренажерный универсальный
19,площадка для городошного спорта
20,бассейн плавательный 25-ти метровый крытый
21,площадка пейнтбольная открытая
22,бассейн плавательный площадью более 60-ти кв.м крытый
23,теннисный корт
24,площадка для игры в футбол
25,фонтан
26,городок тренажерный (воркаут) нового типа
27,городок тренажерный (воркаут) старого типа
28,площадка для игры в баскетбол
29,универсальная зона отдыха в парке
30,бассейн плавательный площадью менее 60-ти кв.м крытый
31,зона отдыха у воды
32,зал теннисный
33,место занятий спортивным ориентированием
34,поле бейсбольное
35,площадка для игры в настольный теннис
36,бассейн плавательный 50-ти метровый крытый
37,прокат спортивного инвентаря (отдельно стоящий)
38,"эстрада, сцена открытая"
39,дорожка беговая-прогулочная
40,площадка детская игровая в парке
41,дорожка велосипедная
42,горнолыжный склон
43,полоса препятствий
44,сектор легкоатлетический
45,лыжная база
46,ледяная горка
47,площадка для игры в волейбол
48,"роллердром, скейтпарк открытый"
49,каток с искусственным льдом
50,скалодром крытый
51,место для использования пиротехники
52,велодром открытый
53,сектор для прыжков в длину
54,автодром учебный
55,скалодром открытый
56,снежный городок
57,ледовое поле крытое нестандартное
58,поле конноспортивное для конкура и выездки
59,площадка детская игровая учреждения Департамента образования
60,площадка для пикника
61,ледяная горка на дворовой территории
62,батутный комплекс открытый
63,оборудованное место для зимнего купания в парке
64,городок веревочный
65,подсобно-бытовое помещение
66,центральная арена
67,площадка для мини-гольфа
68,манеж футбольный
69,снежная горка на дворовой территории
70,летний кинотеатр
71,детский развивающий центр
72,место катания на лошадях
73,площадка для настольных игр
74,автодром аттракционный
75,площадка для пляжных видов спорта крытая
76,мини-зоопарк
77,площадка для игры в петанк
78,площадка для сноуборда
79,манеж легкоатлетический
80,манеж конноспортивный
81,тропа здоровья
82,выставка ледяных скульптур
83,аттракцион
84,велосипедная трасса открытого типа
85,гребная база и канал
86,площадка для керлинга крытая
87,стрелковый тир открытый
88,велодром крытый
89,бассейн плавательный площадью менее 60-ти кв.м открытый
90,"трасса для снегоходов, квадроциклов, ездовых упряжек и прочее"
91,место для зимней рыбалки в парке
92,каток с синтетическим покрытием
93,площадка для водных экстремальных видов спорта
94,поле для гольфа
95,пляж
96,бассейн плавательный площадью более 60-ти кв.м открытый
97,место запуска праздничных салютов
98,автодром спортивный крытый
99,ледовое поле конькобежное
100,зал для прыжков на батутах
101,гребной бассейн
102,хафпайп
103,трамплин для прыжков на лыжах
104,бассейн плавательный 50-ти метровый открытый
105,"роллердром, скейтпарк крытый"
106,бассейн плавательный 25-ти метровый открытый
107,методический кабинет
